channel,source,type,convo,direction,user,contact,text,tags,convoCreatedAt,itemCreatedAt,external,firstReplyTimeSecs,firstReplyTimeMins,firstReplyTimeHours
twitter,message,tweet,https://reply.buffer.com/conversations/W0T49OM-swAB4EdO,inbound,,micahgodbolt (Micah Godbolt),"""@_bwhitty @googlemaps @firefox maps is usually the worst. zoom performance, map rendering, touch support. Finally ditched using FF to search for a lunch spot due to the experience being so poor.""",EN,2018-07-10 18:20:22,2018-07-10 20:42:59,https://twitter.com/statuses/1016784873564954626,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0T4k-M-swAB4Ec8,inbound,,MTANotOK (Μιθριδάτης),"""@jschauma @firefox The non-stupid option that would leave us on a sustainable path forward would, of course, be DANE; but _nobody_ has the guts to stand up to the obstructionist commercial-CA stooges at IETF, so I don't think we'll be getting that.""",EN,2018-07-10 18:18:58,2018-07-10 18:18:58,https://twitter.com/statuses/1016748630336835585,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0T1-n2-UgABSaU4,inbound,,WookieeBoy (Sʜᴀᴡɴ Pᴀʀᴋᴇʀ),"""@devinreams @firefox The big one for me, unless I’m missing something, is that there’s no loose mode for extension distribution. Everything MUST be signed by Mozilla meaning the we can’t have proprietary, internal only, extensions for our company, or even personal use.""","EN,Nightly,Fan Luv,Help Me",2018-07-10 18:07:52,2018-07-10 18:07:52,https://twitter.com/statuses/1016745838104608768,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0T1-n2-UgABSaU4,inbound,,WookieeBoy (Sʜᴀᴡɴ Pᴀʀᴋᴇʀ),"""@RandomFFUser @devinreams @firefox 👍🏼
But requiring them to be signed, which is my gripe, is an unnecessary step for short lived needs. Which most extensions typically are.""","EN,Nightly,Fan Luv,Help Me",2018-07-10 18:07:52,2018-07-10 20:53:41,https://twitter.com/statuses/1016787566631112704,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0T1-n2-UgABSaU4,inbound,,WookieeBoy (Sʜᴀᴡɴ Pᴀʀᴋᴇʀ),"""@RandomFFUser @devinreams @firefox Also  I don’t want anything that could leak details about operations, infrastructure, or possibly even credentials (mistakes happen) being sent to outside sources.""","EN,Nightly,Fan Luv,Help Me",2018-07-10 18:07:52,2018-07-10 20:58:22,https://twitter.com/statuses/1016788745348046848,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0T1-n2-UgABSaU4,inbound,,WookieeBoy (Sʜᴀᴡɴ Pᴀʀᴋᴇʀ),"""@devinreams @RandomFFUser @firefox This API looks newer than my last look in to FF since extension signing was made mandatory. I’ll have to check it out.""","EN,Nightly,Fan Luv,Help Me",2018-07-10 18:07:52,2018-07-10 21:06:39,https://twitter.com/statuses/1016790827740172288,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0T1-n2-UgABSaU4,inbound,,WookieeBoy (Sʜᴀᴡɴ Pᴀʀᴋᴇʀ),"""@devinreams @RandomFFUser @firefox ESR sounds like an undue burden on IT for our use case. We really just want to be able to write short lived helpers without hassle. I guess if FF Nightly can get around that it could help.""","EN,Nightly,Fan Luv,Help Me",2018-07-10 18:07:52,2018-07-10 21:08:12,https://twitter.com/statuses/1016791219857342464,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0T1-n2-UgABSaU4,inbound,,WookieeBoy (Sʜᴀᴡɴ Pᴀʀᴋᴇʀ),"""@RandomFFUser @devinreams @firefox I know that, you know that… but people still do it.""","EN,Nightly,Fan Luv,Help Me",2018-07-10 18:07:52,2018-07-10 21:33:58,https://twitter.com/statuses/1016797705698357248,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0T1-n2-UgABSaU4,inbound,,WookieeBoy (Sʜᴀᴡɴ Pᴀʀᴋᴇʀ),"""@RandomFFUser @devinreams @firefox Yeah, this is definitely a concern as well.""","EN,Nightly,Fan Luv,Help Me",2018-07-10 18:07:52,2018-07-10 21:35:23,https://twitter.com/statuses/1016798060427374592,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0T1vOM-swAB4EZn,inbound,,zazelenautrzena (Dozrávací mód🤷🏻‍♀️),"""Takovej FireFox gang😉 že @Tapr20 😉❓nebo jak se Ti to jeví🤔 https://t.co/ci7nUvCyVY""","CZ,Fan Luv",2018-07-10 18:06:38,2018-07-10 18:06:38,https://twitter.com/statuses/1016745528732930048,,,
