text,tags,locale,convoCreatedAt
"""HTFG google, why would anyone use Chrome??? 

@firefox""",EN,en,2018-09-25 22:15:05
"""@metalcanine @mozilla @firefox Awesome! Which platform will you be focused on?""",EN,en,2018-09-25 22:13:58
"""Extremely extremely happy to have landed a job @mozilla working on @firefox as a platform integration engineer!!! 💛🦊💛 https://t.co/sGfFAa0B2v""",EN,en,2018-09-25 22:12:10
"""@liberty_ohio @firefox Boy for a evil God hater you’re not to much into twitter with your 20 tweets......you should be on there hating more""",EN,en,2018-09-25 22:11:34
"""@Karlagsi #safari nunca es opción jajaa mejor usa @firefox""",ES,es,2018-09-25 22:09:28
"""Lancement de @Firefox Monitor : se protéger après une fuite de données https://t.co/A5b5IZEqLf traduction @MozillaPR_FR""","FR,Press Release,No Action Taken",fr,2018-09-25 22:02:29
"""@1Password Auto-fill not working on @Firefox Sign-In page, can anyone help?
Also how to report other URL where Auto-fill isn't working in future?""","EN,Help Me",en,2018-09-25 21:57:20
"""Yeah!""",EN,en,2018-09-25 21:55:57
"""@Chinmayi @firefox @kesavan2000in @mozilla @tparavai It's just a browser with several hundred million users, built by a NGO with lots of volunteers, translated by volunteers and probably that tweet was also from a Mozilla volunteer. That is what Firefox is :)""",EN,en,2018-09-25 21:53:43
"""Gijs Kruitbosch  - make TAB_COUNT probes not expire, data-review+r=chutten - https://t.co/nqWVRJfobu... https://t.co/G87gQskM7a""",NL,en,2018-09-25 21:50:17
"""@kneath @jbrewer Hi! When are you getting a performance hit? #fxhelp""","EN,AoA",en,2018-09-25 21:48:10
"""@firefox @troyhunt Familiar concept...""",ES,en,2018-09-25 21:43:48
"""@SwitchingSocial @Ivan_Pleva @firefox @brave Your skepticism is well-merited.  The Brave team is hoping to deliver advertising in a way that's much more polite and frankly more desirable for users.  But of course that's a tall hill to climb and many have failed.""","EN,No Action Taken",en,2018-09-25 21:39:34
"""@MetaverseOne Thanks for checking in, Damon! Looks perfect on Firefox Reality! If you don't mind a quick tweak, @firefox recently updated their logo, which you can grab here for the desktop Firefox: https://t.co/zeXENLhzC6""","reality,EN",en,2018-09-25 21:29:21
"""Si usas la misma contraseña para varias webs verifica que no hayan sido comprometidas y empieza a usar una diferente para evitar problemas.""",ES,es,2018-09-25 21:24:31
"""@dam @lyftdesignteam @firefox @SlackHQ Oh weird! Thanks for helping debug this! I may end up adding some support for % in addition to # just in case some URL manipulation happens.""",EN,en,2018-09-25 21:24:27
"""@firefox crea un nuevo servicio gratuito llamado FireFox Monitor que te ayuda a mantener seguras y saber si tus contraseñas🔑 fueron robadas por alguien, podrás navegar seguro en la web sin temor a robo de tus credenciales gracias a @firefox @haveibeenpwned #ciberseguridad 🔐💻 https://t.co/gusOmE5d6V""",ES,es,2018-09-25 21:22:53
"""New #remote #job Product Manager, Line Extensions at @firefox
https://t.co/KWnGqNpCVX
#remotejob #hiring""",EN,en,2018-09-25 21:15:02
"""@firefox Every time I heard a good thing about Firefox, I gave it a try. So many times! And each time I uninstalled it within single digit minutes! I almost wanna try again but just read all the replies here, forget it!""",EN,en,2018-09-25 21:14:14
"""Awesome how Firefox is pushing for the user's rights &amp; safety. You rock 😊""","EN,Help Me",en,2018-09-25 21:11:31
"""So @firefox Multi-Account Containers seem to be okay. There isn't a lot of complexity to them. You can't divide up history and it doesn't appear that you have the ability to clear cookies in one container. The UI is slightly clunky. Give it 8/10.""","EN,Pending",en,2018-09-25 21:11:20
"""Handy to check your emails are safe and if you need to check passwords also could remind you of places you signed into with that email you may have forgotten about. If you have used https://t.co/LMO6CM4Jp3 its pretty much the same thing.""",EN,en,2018-09-25 21:11:11
"""Wtf they had a data breach ?""",EN,en,2018-09-25 21:10:27
"""@firefox_es @cero por favor 😂""",ES,es,2018-09-25 21:06:11
"""HaveIBeenPwned alternative by @firefox https://t.co/5oHjxE68XI""",EN,en,2018-09-25 21:05:45
"""@firefox 💕🚨🕊🎃""",,en,2018-09-25 21:04:24
"""@firefox Your browser hangs, slows down, crashes and I have time to make the bed while it is figuring out if it will open the webpage or not""",EN,en,2018-09-25 21:03:45
"""@jvehent @TedMielczarek @firefox Regular reminder that over a year and a half after Pocket acquisition, only part that's open source is still just the code to integrate its sharing features into the Firefox UI.

https://t.co/PgqRXpW4qb

1.5+ years of Mozilla operating a commercial, closed source service.""","EN,No Action Taken",en,2018-09-25 21:01:41
"""#TecnologíaGE

Ahora @firefox te ayudará a detectar si tus contraseñas han sido robadas. #FirefoxMonitor te avisará si tu dirección de correo ha sido hackeada.

Vía: @vivisaravia91
Foto: Xataka https://t.co/AyWysWCRTv""",ES,es,2018-09-25 20:56:03
"""Llega @Firefox Monitor, para verificar si nuestras credenciales de acceso han podido ser afectadas https://t.co/CCCdYo11jA https://t.co/QIlVlgerzJ""",ES,es,2018-09-25 20:54:06
"""Мне понравилось видео ""Oculus Go // What is WebVR? / Firefox Reality Overview"" (https://t.co/ipZTcFokQf) на""","reality,CZ",ru,2018-09-25 20:53:44
"""@firefox I haven’t used Firefox in a while. Time to give it a shot again.""",EN,en,2018-09-25 20:52:34
"""@troyhunt @firefox @haveibeenpwned That is huge. Congrats🎉

I bet this kind of load will need more tech stack changes? 🤔""","EN,Fan Luv",en,2018-09-25 20:50:57
"""@troyhunt @firefox @haveibeenpwned @AzureFunctions @Cloudflare That's why I love Serverless. Big win for the web community.""","EN,Fan Luv",en,2018-09-25 20:50:57
"""@naveenyagati @firefox @haveibeenpwned Reach""",EN,en,2018-09-25 20:50:29
"""Okay I feel really stupid. I was a little irked that @firefox only zooms an #SVG to 300%. Made fine details on my map harder to do.

Just now, when almost finished - hits me like a brick. Adjust the width and height attributes in the SVG dumbass - that's what it is there for.""","EN,Fan Luv",en,2018-09-25 20:46:50
"""@firefox Have you fired any executives lately for donating to a conservative cause?""",EN,en,2018-09-25 20:45:57
"""@firefox This simply isn’t true. Chrome and FF and now in equal standing, so I’m switching to Safari which seems to be the lightest browser.""","EN,RAM",en,2018-09-25 20:43:02
"""@firefox 30% less memory than?""","EN,RAM",en,2018-09-25 20:43:02
"""@AndyGasman @firefox Ok ok, I’ll give FF another try 😅""",EN,en,2018-09-25 20:37:56
"""We’ve launched! @firefox Monitor, powered by @haveibeenpwned 😎 https://t.co/j2oJ59IyCl""",EN,en,2018-09-25 20:37:03
"""@MrAhmadAwais @firefox @haveibeenpwned Nope, barely noticing it, @AzureFunctions and @Cloudflare FTW!""",EN,en,2018-09-25 20:37:03
"""Tras el #exploit que puede causar el reinicio de un #iPhone y la relentización de un #Mac, se ha escubierto otro error del navegador que puede forzar a @firefox a fallar en los tres sistemas operativos de escritorio más populares: #Mac, #Linux y @Windows. Por @danielperez9430.""",ES,es,2018-09-25 20:35:00
"""@firefox Many password managers come and go, but for individuals only Lastpass 'passes muster' for the free version. 1password and Dashlane are paid only.
#lastpass
https://t.co/1KAmVXngwU""","EN,Help Me",en,2018-09-25 20:34:13
"""Team #Firefox""",EN,en,2018-09-25 20:33:12
"""@firefox It doesn't do this if you use icognito mode! Can someone else confirm?CTRL+SHIFT+N""",EN,en,2018-09-25 20:31:14
"""@nitot @firefox et @Qwant_FR bisou @Google""",FR,fr,2018-09-25 20:28:54
"""A breach tool you can trust.""",EN,en,2018-09-25 20:24:05
"""Congratulations @troyhunt and @firefox for reaching number one on Hacker news with the release of Firefox Monitor. Excellent work. https://t.co/PzRcKW7Frw""",EN,en,2018-09-25 20:22:31
"""Welp. Last straw, I'm out. Hello again @firefox""",EN,en,2018-09-25 20:21:14
"""@firefox Firefox getting more love?""","EN,Fan Luv",en,2018-09-25 20:19:36
"""@hergertme @firefox rpm -e hunspell-en helps a bit. But with hunspell-en-US and hunspell-en-GB installed it still defaults to en-GB, which I need maybe twice a year.""",EN,en,2018-09-25 20:16:14
"""Great new free tool to help protect you from data breeches! @mozilla @firefox https://t.co/hNJnY88Sp0""","EN,Help Me",en,2018-09-25 20:16:05
"""Great resource from @firefox to let you know if your email has been part of a data breach. I'm assuming most ad industry people's will have been ... https://t.co/fQHhXRsbyh""","EN,Press Release,No Action Taken",en,2018-09-25 20:15:08
"""Introducing Firefox Monitor, Helping People Take Control After a Data Breach https://t.co/s2lIgr6GcL via @mozilla @firefox""","EN,Press Release,No Action Taken",en,2018-09-25 20:05:59
"""@firefox is telling me that @PractiTest blog site is insecure. For a #QA #software vendor - this does not look so good. #HTTPS #fail #AlwaysBeTesting https://t.co/9zRyoQMvz0""",EN,en,2018-09-25 19:59:46
""".@Mozilla Rolls Out @Firefox Monitor Service for Breach Notifications https://t.co/BFhVd7MYbN #decipher #deciphersec""",EN,en,2018-09-25 19:56:56
"""@firefox We use Chrome and Safari for our iPads and phones.  0 issues!""",EN,en,2018-09-25 19:48:58
"""@Moira_Mona @tjluimes Indien mogelijk, check Firefox focus als browser voor je mobiel. Wel ontzettend krom dat we als gebruikers tot zulke stappen moeten overgaan om gewoon te kunnen browsen :-/""","NL,Firefox Focus",nl,2018-09-25 19:47:01
"""La gran vulnerabilidad de @firefox permite ataques de usuarios que bloquean y congelan el buscador de @mozilla https://t.co/q5pjxl9YAa""",ES,es,2018-09-25 19:45:00
"""Jaque Mate.""",ES,es,2018-09-25 19:44:30
"""Lekker SNEL aan het warke! Gebruik nu: Firefox als Brauwsser.. Die Amerikanen, -Google- hè?! Die liggen Links, en daahaar moeten ze vooral BLIJVEN!

Alle betalingen bevestigd, op 1 na. Je kén-nie-alles-weten.. 😈

Ik... https://t.co/MULdyQgwQm""",NL,nl,2018-09-25 19:38:54
"""@ShannonZKiller @firefox The whole browser stopped working for me.  firefox.exe -P  will give you a profile window; rename, or create a new profile... play around with it.""",EN,en,2018-09-25 19:35:01
"""@mozilla @firefox @votedotorg I don't deal with politics. I became devastated after I voted for Hillary Clinton and she didn't get elected. I care NOTHING about who to vote for.

We of all people can solve problems. That's why I'd advocate for #TheVenusProject.""",EN,en,2018-09-25 19:31:35
"""Et sinon, il y a @firefox.""",FR,fr,2018-09-25 19:27:42
"""@jvehent @firefox https://t.co/ejLaQOSZk2""",,mr,2018-09-25 19:25:05
"""Thanks @troyhunt who made this possible""",EN,en,2018-09-25 19:25:04
"""@jvehent @firefox B""",,en,2018-09-25 19:24:34
"""@wook82 @firefox_es Ídem!!""",PT-BR,hu,2018-09-25 19:23:16
"""@firefox Firefox will always be the #1 browser!""",EN,en,2018-09-25 19:23:09
"""@firefox @troyhunt @haveibeenpwned why partner with https://t.co/850Y3vI7vV when you have a service of your own ?""",EN,en,2018-09-25 19:13:57
"""Wow, @newsyc500 is full of #GoogleChrome hate now and it's not stopping. Buying popcorn 🍿 I love you @firefox! Offering an #OpenSource, independent, privacy-focused browser for years ❤️""","EN,Not Fan Luv,Fan Luv",en,2018-09-25 19:13:16
"""@walkingriver @firefox Hi there Michael, are you a web developer? If so check this out: https://t.co/ppDNguaT2p

Developer Edition is on the same update path as Beta.

(It installs with a separate profile by default, so don't worry about it tampering your normal Firefox installation!)""","EN,Help Me",en,2018-09-25 19:12:09
"""@QwantCom @ProtonMail @firefox @brave switched to Qwant, happy user.""","EN,No Action Taken",en,2018-09-25 19:11:49
"""Security Note: Chrome v69 logs you in across services! SSO is convenient, but ya might want to turn OFF sync if you need more #security. For even more #privacy, you can also use: @firefox, @brave, @DuckDuckGo, and my personal favorite @torproject products:
https://t.co/EdcWlQoSe7""","Sync,EN,No Action Taken,Help Me",en,2018-09-25 19:10:50
"""A friend of mine challenged me to try @firefox for a week. So I did. That was June 4. I still have Chrome installed, but I only use it occasionally. Haven't looked back.""",EN,en,2018-09-25 19:08:49
"""@ravikreddy @googlechrome @firefox @opera Hi there Ravik, Tor is based on Firefox, and soon most/all of Tor Browser and its features will be integrated into Firefox's Private Browsing Mode.

- Mkll #fxhelp""","EN,AoA,VPN",en,2018-09-25 19:04:35
"""@ravikreddy @googlechrome @firefox @opera Hi there Ravik, should you want to use a VPN, please use one from an external source, nothing a browser can provide when it comes to VPNs are good enough. Please choose a provider from your favorites here for a reliable VPN service: https://t.co/SxXfZkHl40

- Mkll #fxhelp""","EN,AoA,VPN",en,2018-09-25 19:04:35
"""@olgarithmic @zotero @firefox Yep, me too!""",EN,en,2018-09-25 19:04:26
"""GJ @googlechrome that's why I will never enable any of your stupid windows services, scheduled tasks or executables in AppData. Finally the time has come to use @firefox""",EN,en,2018-09-25 19:01:04
"""As soon as I found out @firefox existed, I switched, love it, and it really seems like a nice and honest company. #Firefox""","EN,Fan Luv",en,2018-09-25 19:00:16
"""@kidek6 @CryZe107 Can you please report a performce issue? https://t.co/NsVzI7YeBf #fxhelp""","EN,AoA,No Action Taken,WebDev",en,2018-09-25 18:59:48
"""@firefox Seems like your css file link is broken. https://t.co/lOn5C2R0iv""","EN,Fan Luv,No Action Taken",en,2018-09-25 18:59:40
"""Yes, but if we bought a Chromebook, this is too late buddies.""",EN,en,2018-09-25 18:58:15
"""@firefox_es En mi caso no se porque Chrome se me ""laguea"" y Firefox no lo hace, siempre eh pensado que Firefox es más pesado que Chrome porque tiene demasiados opciones para personalizarlo, pero eh visto que es lo contrario, Firefox es más fluido""",ES,es,2018-09-25 18:57:17
"""jajaja ese Firefox troll @giovaelpe""",ES,es,2018-09-25 18:55:13
"""@googlechrome orey @firefox Vadtunano chrome vadtunano ardam aithale""",,te,2018-09-25 18:55:05
"""Einfach mal einen alternativen @firefox Browser verwenden 😎 @heiseonline 

https://t.co/apeTnGUDQY""",DE,de,2018-09-25 18:53:05
"""And that's one more reason why you should use @firefox instead of @googlechrome""",EN,en,2018-09-25 18:52:09
"""Started using Tor.. Byee bye @googlechrome @firefox @opera""","EN,VPN,Help Me",en,2018-09-25 18:45:19
"""@MkllSUMO @googlechrome @firefox @opera Thanks for update.. Hope we get VPN feature too..""","EN,VPN,Help Me",en,2018-09-25 18:45:19
"""Qué bien traída esta. 😎""",ES,es,2018-09-25 18:43:38
"""@NarimanGharib @firefox @oarabilemudon""",,en,2018-09-25 18:39:58
"""@jvehent @firefox Good because it's all porn and fanfics unfortunately""",EN,en,2018-09-25 18:39:28
