channel,source,type,convo,direction,user,contact,text,tags,convoCreatedAt,itemCreatedAt,external,firstReplyTimeSecs,firstReplyTimeMins
twitter,message,tweet,https://reply.buffer.com/conversations/WzTumzC1xAABh9QY,inbound,,antranigv (Antranig Vartanian),"""@meka_floss @mozilla @firefox it's never breaked here :/ why are you guys having issues?""","EN,Help Me",2018-06-28 14:20:10,2018-06-28 14:20:10,https://twitter.com/statuses/1012339879450238981,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTuG_T9WAABHiOq,inbound,,DrAndersIngram (Dr Anders Ingram),"""So ... I can't download my own files from my own @googledrive using @googlechrome but I can using @firefox ... good job I still had mozilla on the computer then eh?""","EN,Help Me",2018-06-28 14:18:00,2018-06-28 14:18:00,https://twitter.com/statuses/1012339334752669697,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTuG_T9WAABHiOq,inbound,,DrAndersIngram (Dr Anders Ingram),"""@DrLeonJ @googledrive @googlechrome @firefox Yeah i used to use dropbox quite a bit .... may have to go back again ....""","EN,Help Me",2018-06-28 14:18:00,2018-06-28 17:02:10,https://twitter.com/statuses/1012380649037139969,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTsqYI3eAABX9Lr,inbound,,ChanBahlumII (ChanBahlum II),"""@firefox https://t.co/leFal0oU7z 
#abuse""","EN,Help Me",2018-06-28 14:11:51,2018-06-28 14:11:51,https://twitter.com/statuses/1012337787805360128,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTsqYI3eAABX9Lr,outbound,Pravinraj LR,ChanBahlumII (ChanBahlum II),"""@ChanBahlumII is there any issue with that particular add-on ? Help us with your feedback.  - -PR🦊""","EN,Help Me",2018-06-28 14:11:51,2018-07-01 6:24:21,https://twitter.com/statuses/1013307299170078720,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTsqYI3eAABX9Lr,inbound,,ChanBahlumII (ChanBahlum II),"""@firefox In my opinion it feels very #malicious and to the best that I can recall other people were comparing it to #malware on the site associated with it. I hope that #FireFox addresses these concerns asap. Thanks.""","EN,Help Me",2018-06-28 14:11:51,2018-07-01 6:54:52,https://twitter.com/statuses/1013314981163683840,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTsqYI3eAABX9Lr,inbound,,ChanBahlumII (ChanBahlum II),"""@firefox Yea, in my opinion it is a politically motivated ""stalker program"" that libels people and collects information on people without consent.""","EN,Help Me",2018-06-28 14:11:51,2018-07-01 6:28:42,https://twitter.com/statuses/1013308395699531777,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTsqYI3eAABX9Lr,inbound,,ChanBahlumII (ChanBahlum II),"""@firefox For clarification. When the entity admits or claims: ""we are tracking"". Is that to say that #Firefox is tracking various Twitter accounts and once #Firefox has collected Twitter activity of various Twitter users it then makes some opinionated  assessment of those accounts?""","EN,Help Me",2018-06-28 14:11:51,2018-07-01 7:06:00,https://twitter.com/statuses/1013317782837047296,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTsqYI3eAABX9Lr,inbound,,ChanBahlumII (ChanBahlum II),"""@firefox For clarification. When the entity admits or claims: "" we are tracking"". Is that to say that #Firefox is tracking my Twitter account activity and once #Firefox has collected Twitter activity of Twitter uses, it then makes some opinionated  assessment of those accounts?""","EN,Help Me",2018-06-28 14:11:51,2018-07-01 7:04:01,https://twitter.com/statuses/1013317282607587328,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTsqYI3eAABX9Lr,inbound,,ChanBahlumII (ChanBahlum II),"""@firefox For instance or example. Is it the opinion of #Firefox that @DineshDSouza deserves a ""Bot Rank of 22%"" determined by the tracking of his Twitter account activity by a #Firefox addon?""","EN,Help Me",2018-06-28 14:11:51,2018-07-01 7:33:27,https://twitter.com/statuses/1013324690163748864,,
